identity,SPD,EOpp_diff,n_A0,n_A1
male,0.011609691195090019,-0.16071428571141583,951,49
female,0.04745150247242297,-0.15254237287877048,956,44
black,-0.014262333411269576,0.19999999989111109,987,13
white,-0.03911154031868663,0.06206896547961949,981,19
muslim,-0.09154929577464789,-0.14754098360413867,994,6
jewish,-0.09210526315789473,-0.14999999999750002,988,12
christian,0.024130273871206503,0.11440677960081513,965,35
transgender,-0.09109109109109109,-0.14516129032023933,999,1
homosexual_gay_or_lesbian,-0.09136546184738956,-0.14754098360413867,996,4
